Dataset,Package,File,"Number of errors"
top1k-typed-nodeps,aws4,example.ts,5
top1k-typed-nodeps,aws4,lru.ts,6
top1k-typed-nodeps,balanced-match,example.ts,0
top1k-typed-nodeps,balanced-match,index.ts,9
top1k-typed-nodeps,base64-js,base64js.min.ts,9
top1k-typed-nodeps,base64-js,bench/basic.ts,4
top1k-typed-nodeps,base64-js,bench/bench.ts,4
top1k-typed-nodeps,base64-js,index.ts,10
top1k-typed-nodeps,big.js,big.ts,115
top1k-typed-nodeps,big.js,perf/bigtime.ts,15
top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,951
top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bugs.ts,0
top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,73
top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,62
top1k-typed-nodeps,binary-extensions,index.ts,0
top1k-typed-nodeps,bn.js,benchmarks/index.ts,141
top1k-typed-nodeps,bn.js,lib/bn.ts,388
top1k-typed-nodeps,bn.js,util/genCombMulTo.ts,1
top1k-typed-nodeps,bn.js,util/genCombMulTo10.ts,1
top1k-typed-nodeps,boolbase,index.ts,0
top1k-typed-nodeps,brorand,index.ts,7
top1k-typed-nodeps,browser-process-hrtime,index.ts,5
top1k-typed-nodeps,buffer-crc32,index.ts,3
top1k-typed-nodeps,buffer-from,index.ts,9
top1k-typed-nodeps,bytes,index.ts,4
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,78
top1k-typed-nodeps,callsites,index.ts,0
top1k-typed-nodeps,camelcase,index.ts,1
top1k-typed-nodeps,caniuse-lite,check-mdn-bcd.ts,3
top1k-typed-nodeps,caniuse-lite,check.ts,3
top1k-typed-nodeps,caniuse-lite,commit.ts,1
top1k-typed-nodeps,caniuse-lite,consumer.ts,1
top1k-typed-nodeps,caniuse-lite,copy-mdn.ts,12
top1k-typed-nodeps,caniuse-lite,data/agents.ts,0
top1k-typed-nodeps,caniuse-lite,data/browserVersions.ts,0
top1k-typed-nodeps,caniuse-lite,data/browsers.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/aac.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/abortcontroller.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/ac3-ec3.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/accelerometer.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/addeventlistener.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/alternate-stylesheet.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/ambient-light.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/apng.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/array-find-index.ts,0
