"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps,symbol-observable,0,0,1,0
top1k-typed-nodeps,symbol-tree,0,0,0,0
top1k-typed-nodeps,tapable,0,0,0,0
top1k-typed-nodeps,throat,0,0,0,0
top1k-typed-nodeps,through,1,0,0,1
top1k-typed-nodeps,tmpl,0,0,0,0
top1k-typed-nodeps,to-fast-properties,0,0,0,0
top1k-typed-nodeps,trim-newlines,1,0,1,1
top1k-typed-nodeps,tslib,0,0,0,0
top1k-typed-nodeps,tweetnacl,NA,0,0,0
top1k-typed-nodeps,type,0,0,0,0
top1k-typed-nodeps,typedarray-to-buffer,1,0,1,0
top1k-typed-nodeps,universalify,0,0,1,1
top1k-typed-nodeps,urix,1,0,0,1
top1k-typed-nodeps,util-deprecate,1,0,0,1
top1k-typed-nodeps,utils-merge,1,1,1,1
top1k-typed-nodeps,uuid,0,0,0,0
top1k-typed-nodeps,vary,0,0,0,0
top1k-typed-nodeps,webidl-conversions,0,0,0,0
top1k-typed-nodeps,webpack-sources,0,0,0,0
top1k-typed-nodeps,whatwg-mimetype,NA,0,0,0
top1k-typed-nodeps,word-wrap,0,NA,0,0
top1k-typed-nodeps,ws,NA,NA,0,0
top1k-typed-nodeps,xml-name-validator,1,NA,1,1
top1k-typed-nodeps,xtend,0,NA,0,0
top1k-typed-nodeps,yallist,0,0,0,0
top1k-typed-nodeps,yn,0,0,0,0
top1k-typed-nodeps,yocto-queue,1,NA,1,1
top1k-typed-nodeps-es6,@xtuc_long,NA,0,0,0
top1k-typed-nodeps-es6,abab,0,0,0,0
top1k-typed-nodeps-es6,abbrev,0,0,0,0
top1k-typed-nodeps-es6,acorn-jsx,0,0,0,0
top1k-typed-nodeps-es6,ansi-colors,0,0,0,0
top1k-typed-nodeps-es6,ansi-regex,0,0,0,0
top1k-typed-nodeps-es6,ansi-styles,0,0,0,0
top1k-typed-nodeps-es6,arg,0,NA,0,0
top1k-typed-nodeps-es6,argparse,NA,0,0,0
top1k-typed-nodeps-es6,arr-diff,NA,0,0,0
top1k-typed-nodeps-es6,arr-union,0,0,0,0
top1k-typed-nodeps-es6,array-union,1,1,1,1
top1k-typed-nodeps-es6,array-uniq,1,0,1,1
top1k-typed-nodeps-es6,array-unique,0,0,0,0
top1k-typed-nodeps-es6,arrify,1,0,1,1
top1k-typed-nodeps-es6,assert-plus,0,0,0,0
top1k-typed-nodeps-es6,astral-regex,0,0,1,1
top1k-typed-nodeps-es6,async,NA,NA,0,0
top1k-typed-nodeps-es6,atob,0,0,0,0
top1k-typed-nodeps-es6,aws4,0,0,0,0
top1k-typed-nodeps-es6,balanced-match,0,0,0,0
top1k-typed-nodeps-es6,base64-js,0,0,0,0
top1k-typed-nodeps-es6,big.js,NA,NA,0,0
