"System","Dataset","Package","Type checks"
LambdaNet,top1k-typed-nodeps-es6,has-flag,0
LambdaNet,top1k-typed-nodeps-es6,html-escaper,0
LambdaNet,top1k-typed-nodeps-es6,http-cache-semantics,0
LambdaNet,top1k-typed-nodeps-es6,human-signals,0
LambdaNet,top1k-typed-nodeps-es6,icss-utils,0
LambdaNet,top1k-typed-nodeps-es6,ieee754,1
LambdaNet,top1k-typed-nodeps-es6,iferr,0
LambdaNet,top1k-typed-nodeps-es6,ignore,0
LambdaNet,top1k-typed-nodeps-es6,import-from,1
LambdaNet,top1k-typed-nodeps-es6,import-lazy,0
LambdaNet,top1k-typed-nodeps-es6,imurmurhash,0
LambdaNet,top1k-typed-nodeps-es6,indent-string,0
LambdaNet,top1k-typed-nodeps-es6,inherits,0
LambdaNet,top1k-typed-nodeps-es6,interpret,0
LambdaNet,top1k-typed-nodeps-es6,ip-regex,0
LambdaNet,top1k-typed-nodeps-es6,ip,0
LambdaNet,top1k-typed-nodeps-es6,ipaddr.js,0
LambdaNet,top1k-typed-nodeps-es6,is-absolute-url,1
LambdaNet,top1k-typed-nodeps-es6,is-buffer,0
LambdaNet,top1k-typed-nodeps-es6,is-callable,0
LambdaNet,top1k-typed-nodeps-es6,is-directory,0
LambdaNet,top1k-typed-nodeps-es6,is-docker,1
LambdaNet,top1k-typed-nodeps-es6,is-fullwidth-code-point,1
LambdaNet,top1k-typed-nodeps-es6,is-generator-fn,1
LambdaNet,top1k-typed-nodeps-es6,is-interactive,0
LambdaNet,top1k-typed-nodeps-es6,is-number,0
LambdaNet,top1k-typed-nodeps-es6,is-obj,1
LambdaNet,top1k-typed-nodeps-es6,is-path-cwd,1
LambdaNet,top1k-typed-nodeps-es6,is-path-inside,0
LambdaNet,top1k-typed-nodeps-es6,is-plain-object,0
LambdaNet,top1k-typed-nodeps-es6,is-stream,0
LambdaNet,top1k-typed-nodeps-es6,is-typedarray,0
LambdaNet,top1k-typed-nodeps-es6,is-unicode-supported,1
LambdaNet,top1k-typed-nodeps-es6,is-windows,0
LambdaNet,top1k-typed-nodeps-es6,isobject,1
LambdaNet,top1k-typed-nodeps-es6,isstream,0
LambdaNet,top1k-typed-nodeps-es6,jest-pnp-resolver,0
LambdaNet,top1k-typed-nodeps-es6,jquery,0
LambdaNet,top1k-typed-nodeps-es6,jsbn,0
LambdaNet,top1k-typed-nodeps-es6,jsesc,0
LambdaNet,top1k-typed-nodeps-es6,json-buffer,0
LambdaNet,top1k-typed-nodeps-es6,json-parse-better-errors,0
LambdaNet,top1k-typed-nodeps-es6,json-schema-traverse,0
LambdaNet,top1k-typed-nodeps-es6,json-schema,0
LambdaNet,top1k-typed-nodeps-es6,json-stringify-safe,0
LambdaNet,top1k-typed-nodeps-es6,kind-of,0
LambdaNet,top1k-typed-nodeps-es6,kleur,0
LambdaNet,top1k-typed-nodeps-es6,klona,0
LambdaNet,top1k-typed-nodeps-es6,leven,0
LambdaNet,top1k-typed-nodeps-es6,load-json-file,0
LambdaNet,top1k-typed-nodeps-es6,loader-runner,0
LambdaNet,top1k-typed-nodeps-es6,lodash,0
LambdaNet,top1k-typed-nodeps-es6,loglevel,0
LambdaNet,top1k-typed-nodeps-es6,lowercase-keys,1
LambdaNet,top1k-typed-nodeps-es6,make-error,0
LambdaNet,top1k-typed-nodeps-es6,map-obj,0
LambdaNet,top1k-typed-nodeps-es6,media-typer,0
LambdaNet,top1k-typed-nodeps-es6,merge-descriptors,0
LambdaNet,top1k-typed-nodeps-es6,merge-stream,0
LambdaNet,top1k-typed-nodeps-es6,merge2,0
LambdaNet,top1k-typed-nodeps-es6,methods,0
LambdaNet,top1k-typed-nodeps-es6,mime-db,0
LambdaNet,top1k-typed-nodeps-es6,mime,0
LambdaNet,top1k-typed-nodeps-es6,mimic-fn,0
LambdaNet,top1k-typed-nodeps-es6,mimic-response,0
LambdaNet,top1k-typed-nodeps-es6,min-indent,1
LambdaNet,top1k-typed-nodeps-es6,minimalistic-assert,0
LambdaNet,top1k-typed-nodeps-es6,mkdirp,0
LambdaNet,top1k-typed-nodeps-es6,mute-stream,0
LambdaNet,top1k-typed-nodeps-es6,nanocolors,0
LambdaNet,top1k-typed-nodeps-es6,nanoid,0
LambdaNet,top1k-typed-nodeps-es6,natural-compare,0
LambdaNet,top1k-typed-nodeps-es6,negotiator,0
LambdaNet,top1k-typed-nodeps-es6,nice-try,0
LambdaNet,top1k-typed-nodeps-es6,node-int64,0
LambdaNet,top1k-typed-nodeps-es6,normalize-path,0
LambdaNet,top1k-typed-nodeps-es6,normalize-url,0
LambdaNet,top1k-typed-nodeps-es6,number-is-nan,1
LambdaNet,top1k-typed-nodeps-es6,nwsapi,0
LambdaNet,top1k-typed-nodeps-es6,object-assign,0
LambdaNet,top1k-typed-nodeps-es6,object-inspect,0
LambdaNet,top1k-typed-nodeps-es6,object-keys,0
LambdaNet,top1k-typed-nodeps-es6,on-headers,0
LambdaNet,top1k-typed-nodeps-es6,os-homedir,0
LambdaNet,top1k-typed-nodeps-es6,os-tmpdir,0
LambdaNet,top1k-typed-nodeps-es6,p-each-series,0
