"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
SantaCoder,top1k-typed-nodeps,async,lib/internal/queue.ts,3,5,4,21
SantaCoder,top1k-typed-nodeps,async,lib/internal/range.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/internal/reject.ts,0,1,1,4
SantaCoder,top1k-typed-nodeps,async,lib/internal/setImmediate.ts,1,0,1,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/withoutIndex.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/internal/wrapAsync.ts,3,0,1,4
SantaCoder,top1k-typed-nodeps,async,lib/log.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/map.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/mapLimit.ts,0,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/mapSeries.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/mapValues.ts,1,0,2,3
SantaCoder,top1k-typed-nodeps,async,lib/mapValuesLimit.ts,1,0,2,4
SantaCoder,top1k-typed-nodeps,async,lib/mapValuesSeries.ts,1,0,2,3
SantaCoder,top1k-typed-nodeps,async,lib/memoize.ts,1,0,0,2
SantaCoder,top1k-typed-nodeps,async,lib/nextTick.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/parallel.ts,0,0,1,2
SantaCoder,top1k-typed-nodeps,async,lib/parallelLimit.ts,0,0,1,3
SantaCoder,top1k-typed-nodeps,async,lib/priorityQueue.ts,2,2,3,10
SantaCoder,top1k-typed-nodeps,async,lib/queue.ts,0,0,1,2
SantaCoder,top1k-typed-nodeps,async,lib/race.ts,0,0,1,2
SantaCoder,top1k-typed-nodeps,async,lib/reduce.ts,1,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/reduceRight.ts,1,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/reflect.ts,1,1,1,3
SantaCoder,top1k-typed-nodeps,async,lib/reflectAll.ts,1,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/reject.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/rejectLimit.ts,0,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/rejectSeries.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/retry.ts,3,0,2,6
SantaCoder,top1k-typed-nodeps,async,lib/retryable.ts,0,0,1,3
SantaCoder,top1k-typed-nodeps,async,lib/seq.ts,0,1,0,2
SantaCoder,top1k-typed-nodeps,async,lib/series.ts,0,0,1,2
SantaCoder,top1k-typed-nodeps,async,lib/setImmediate.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/some.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/someLimit.ts,0,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/someSeries.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/sortBy.ts,2,1,1,5
SantaCoder,top1k-typed-nodeps,async,lib/timeout.ts,1,0,0,3
SantaCoder,top1k-typed-nodeps,async,lib/times.ts,0,0,2,3
SantaCoder,top1k-typed-nodeps,async,lib/timesLimit.ts,0,0,2,4
SantaCoder,top1k-typed-nodeps,async,lib/timesSeries.ts,0,0,2,3
SantaCoder,top1k-typed-nodeps,async,lib/transform.ts,1,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/tryEach.ts,0,0,1,2
SantaCoder,top1k-typed-nodeps,async,lib/unmemoize.ts,0,0,1,1
SantaCoder,top1k-typed-nodeps,async,lib/until.ts,0,0,0,3
SantaCoder,top1k-typed-nodeps,async,lib/waterfall.ts,1,2,1,5
SantaCoder,top1k-typed-nodeps,async,lib/whilst.ts,2,1,0,7
SantaCoder,top1k-typed-nodeps,async,perf/benchmark.ts,4,0,1,14
SantaCoder,top1k-typed-nodeps,async,perf/memory.ts,0,0,4,4
SantaCoder,top1k-typed-nodeps,async,perf/suites.ts,8,0,2,12
SantaCoder,top1k-typed-nodeps,async,support/build/aggregate-bundle.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,support/build/aggregate-module.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,support/build/compile-module.ts,1,0,0,2
SantaCoder,top1k-typed-nodeps,async,support/generate-index.ts,3,0,0,6
SantaCoder,top1k-typed-nodeps,async,support/index-template.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/jsdoc-custom.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/jsdoc-fix-html.ts,4,0,0,16
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/jsdoc-import-path-plugin.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/publish.ts,11,1,1,44
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/linenumber.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/prettify/lang-css.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/prettify/prettify.ts,4,0,0,12
SantaCoder,top1k-typed-nodeps,async,support/sync-cjs-package.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,support/sync-es-package.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,atob,bin/atob.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,atob,browser-atob.ts,2,0,0,5
