"System","Dataset","Package","File","Error code","Count"
DeepTyper,top1k-typed-nodeps,diff,src/convert/dmp.ts,TS4078,1
DeepTyper,top1k-typed-nodeps,diff,src/convert/xml.ts,TS2304,1
DeepTyper,top1k-typed-nodeps,diff,src/convert/xml.ts,TS4078,1
DeepTyper,top1k-typed-nodeps,diff,src/convert/xml.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/base.ts,TS2339,10
DeepTyper,top1k-typed-nodeps,diff,src/diff/base.ts,TS2526,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/base.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,diff,src/diff/base.ts,TS1345,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/character.ts,TS2304,2
DeepTyper,top1k-typed-nodeps,diff,src/diff/character.ts,TS4025,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/character.ts,TS4078,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/character.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/css.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,diff,src/diff/json.ts,TS2322,3
DeepTyper,top1k-typed-nodeps,diff,src/diff/json.ts,TS2339,10
DeepTyper,top1k-typed-nodeps,diff,src/diff/json.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/line.ts,TS2339,3
DeepTyper,top1k-typed-nodeps,diff,src/diff/line.ts,TS2304,1
DeepTyper,top1k-typed-nodeps,diff,src/diff/sentence.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,diff,src/diff/word.ts,TS2339,4
DeepTyper,top1k-typed-nodeps,diff,src/diff/word.ts,TS2304,2
DeepTyper,top1k-typed-nodeps,diff,src/diff/word.ts,TS4078,2
DeepTyper,top1k-typed-nodeps,diff,src/patch/apply.ts,TS2339,8
DeepTyper,top1k-typed-nodeps,diff,src/patch/apply.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,diff,src/patch/apply.ts,TS2345,1
DeepTyper,top1k-typed-nodeps,diff,src/patch/apply.ts,TS2349,1
DeepTyper,top1k-typed-nodeps,diff,src/patch/apply.ts,TS2367,2
DeepTyper,top1k-typed-nodeps,diff,src/patch/create.ts,TS2322,6
DeepTyper,top1k-typed-nodeps,diff,src/patch/create.ts,TS2339,11
DeepTyper,top1k-typed-nodeps,diff,src/patch/merge.ts,TS2339,27
DeepTyper,top1k-typed-nodeps,diff,src/patch/merge.ts,TS2345,4
DeepTyper,top1k-typed-nodeps,diff,src/patch/merge.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,diff,src/patch/merge.ts,TS2554,2
DeepTyper,top1k-typed-nodeps,diff,src/patch/merge.ts,TS2304,2
DeepTyper,top1k-typed-nodeps,diff,src/patch/parse.ts,TS2339,5
DeepTyper,top1k-typed-nodeps,diff,src/patch/parse.ts,TS2345,2
DeepTyper,top1k-typed-nodeps,diff,src/util/distance-iterator.ts,TS2365,2
DeepTyper,top1k-typed-nodeps,diff,src/util/distance-iterator.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,dotenv,lib/env-options.ts,TS2339,4
DeepTyper,top1k-typed-nodeps,dotenv,lib/main.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,dotenv,lib/main.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,duplexer3,example.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,duplexer3,index.ts,TS2684,1
DeepTyper,top1k-typed-nodeps,ee-first,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,emittery,examples/clock.ts,TS2339,11
DeepTyper,top1k-typed-nodeps,emittery,examples/clock.ts,TS2554,2
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS2322,5
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS2349,10
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS2339,24
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS2345,8
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS2367,2
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS1345,6
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS2554,2
DeepTyper,top1k-typed-nodeps,emittery,index.ts,TS2488,1
DeepTyper,top1k-typed-nodeps,encodeurl,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,escape-html,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,escape-html,index.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,lib/index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/build-keys-from-ts.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS2307,2
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS2339,4
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS2345,3
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS2322,7
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS2304,1
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS2556,1
DeepTyper,top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,TS1064,1
DeepTyper,top1k-typed-nodeps,estraverse,estraverse.ts,TS2304,5
DeepTyper,top1k-typed-nodeps,estraverse,estraverse.ts,TS2350,9
DeepTyper,top1k-typed-nodeps,estraverse,estraverse.ts,TS2345,4
DeepTyper,top1k-typed-nodeps,estraverse,estraverse.ts,TS2749,2
DeepTyper,top1k-typed-nodeps,esutils,lib/ast.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,esutils,lib/keyword.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,etag,benchmark/body0-100b.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,etag,benchmark/body1-1kb.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,etag,benchmark/body2-5kb.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,etag,benchmark/body3-10kb.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,etag,benchmark/body4-100kb.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,etag,benchmark/stats.ts,TS2345,2
DeepTyper,top1k-typed-nodeps,etag,index.ts,TS2403,1
DeepTyper,top1k-typed-nodeps,etag,index.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,etag,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,etag,index.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/add-remove.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/add-remove.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/add-remove.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/add-remove.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/context.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/context.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/context.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/context.ts,TS2339,5
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit-multiple-listeners.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit-multiple-listeners.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit-multiple-listeners.ts,TS2322,3
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit-multiple-listeners.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit-multiple-listeners.ts,TS2339,5
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/emit.ts,TS2339,5
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/hundreds.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/hundreds.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/hundreds.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/hundreds.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/hundreds.ts,TS2403,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/hundreds.ts,TS2339,2
