"System","Dataset","Package","Number of function signatures compared","Number of correct annotations","Number of inferred anys","Number of annotations checked","Number of ground truth anys skipped"
deeptyper,top1k-typed-nodeps-es6,natural-compare,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,negotiator,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,next-tick,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,nice-try,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,node-int64,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,normalize-path,1,2,0,3,0
deeptyper,top1k-typed-nodeps-es6,number-is-nan,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,object-assign,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,object-inspect,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,object-keys,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,on-headers,1,1,2,3,0
deeptyper,top1k-typed-nodeps-es6,os-homedir,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,os-tmpdir,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,p-cancelable,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,p-each-series,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,p-timeout,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,p-try,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,parseurl,1,0,1,2,0
deeptyper,top1k-typed-nodeps-es6,pascalcase,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,path-browserify,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,path-exists,2,4,0,4,0
deeptyper,top1k-typed-nodeps-es6,path-is-absolute,2,3,0,4,0
deeptyper,top1k-typed-nodeps-es6,path-is-inside,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,path-key,1,1,0,2,0
deeptyper,top1k-typed-nodeps-es6,path-parse,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,path-type,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,pify,1,0,3,2,1
deeptyper,top1k-typed-nodeps-es6,postcss-modules-extract-imports,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,postcss-value-parser,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,prepend-http,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,progress,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,promise-inflight,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,punycode,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,querystring,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,querystringify,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,queue-microtask,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,quick-lru,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,range-parser,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,repeat-element,1,1,1,3,0
deeptyper,top1k-typed-nodeps-es6,repeat-string,1,2,0,3,0
deeptyper,top1k-typed-nodeps-es6,require-directory,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,require-from-string,1,2,2,3,1
deeptyper,top1k-typed-nodeps-es6,requires-port,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,retry,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,rsvp,1,1,1,1,1
