Dataset,Package,File,"Error code",Count
top1k-typed-nodeps,clone,clone.ts,TS2359,1
top1k-typed-nodeps,clone,clone.ts,TS2740,4
top1k-typed-nodeps,clone,clone.ts,TS2339,16
top1k-typed-nodeps,clone,clone.ts,TS2345,17
top1k-typed-nodeps,clone,clone.ts,TS2351,4
top1k-typed-nodeps,clone,clone.ts,TS2551,2
top1k-typed-nodeps,clone,clone.ts,TS2403,2
top1k-typed-nodeps,clone,clone.ts,TS2365,2
top1k-typed-nodeps,clone,clone.ts,TS2356,2
top1k-typed-nodeps,clone,clone.ts,TS2314,1
top1k-typed-nodeps,clone,clone.ts,TS2367,3
top1k-typed-nodeps,co,index.ts,TS2314,9
top1k-typed-nodeps,co,index.ts,TS2339,12
top1k-typed-nodeps,co,index.ts,TS2554,1
top1k-typed-nodeps,co,index.ts,TS2345,5
top1k-typed-nodeps,co,index.ts,TS2304,2
top1k-typed-nodeps,co,index.ts,TS2351,1
top1k-typed-nodeps,collect-v8-coverage,index.ts,TS2339,10
top1k-typed-nodeps,color-support,bin.ts,TS2300,1
top1k-typed-nodeps,color-support,browser.ts,TS2393,1
top1k-typed-nodeps,color-support,browser.ts,TS2322,1
top1k-typed-nodeps,color-support,browser.ts,TS2339,5
top1k-typed-nodeps,color-support,index.ts,TS2339,40
top1k-typed-nodeps,color-support,index.ts,TS2322,21
top1k-typed-nodeps,color-support,index.ts,TS2300,1
top1k-typed-nodeps,color-support,index.ts,TS2393,1
top1k-typed-nodeps,color-support,index.ts,TS2345,23
top1k-typed-nodeps,color-support,index.ts,TS2367,2
top1k-typed-nodeps,colorette,bench/index.ts,TS2307,5
top1k-typed-nodeps,colorette,bench/index.ts,TS2339,4
top1k-typed-nodeps,colorette,index.ts,TS2322,4
top1k-typed-nodeps,colorette,index.ts,TS2365,2
top1k-typed-nodeps,colorette,index.ts,TS2367,1
top1k-typed-nodeps,colorette,index.ts,TS2345,1
top1k-typed-nodeps,colors,examples/normal-usage.ts,TS2403,1
top1k-typed-nodeps,colors,examples/normal-usage.ts,TS2339,30
top1k-typed-nodeps,colors,examples/safe-string.ts,TS2403,1
top1k-typed-nodeps,colors,examples/safe-string.ts,TS2339,29
top1k-typed-nodeps,colors,lib/colors.ts,TS2403,2
top1k-typed-nodeps,colors,lib/colors.ts,TS2740,2
top1k-typed-nodeps,colors,lib/colors.ts,TS2339,37
top1k-typed-nodeps,colors,lib/colors.ts,TS2322,3
top1k-typed-nodeps,colors,lib/colors.ts,TS2361,1
top1k-typed-nodeps,colors,lib/colors.ts,TS2314,1
top1k-typed-nodeps,colors,lib/colors.ts,TS2551,1
top1k-typed-nodeps,colors,lib/colors.ts,TS2304,1
top1k-typed-nodeps,colors,lib/colors.ts,TS2769,1
top1k-typed-nodeps,colors,lib/colors.ts,TS2349,2
top1k-typed-nodeps,colors,lib/colors.ts,TS2345,3
top1k-typed-nodeps,colors,lib/colors.ts,TS2538,1
top1k-typed-nodeps,colors,lib/custom/american.ts,TS2304,1
top1k-typed-nodeps,colors,lib/custom/american.ts,TS2339,3
top1k-typed-nodeps,colors,lib/custom/trap.ts,TS2322,1
top1k-typed-nodeps,colors,lib/custom/trap.ts,TS2339,1
top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2339,13
top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2322,1
top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2405,1
top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2407,1
top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2345,1
top1k-typed-nodeps,colors,lib/extendStringPrototype.ts,TS2403,1
top1k-typed-nodeps,colors,lib/extendStringPrototype.ts,TS2339,14
top1k-typed-nodeps,colors,lib/extendStringPrototype.ts,TS2304,1
top1k-typed-nodeps,colors,lib/extendStringPrototype.ts,TS2349,1
top1k-typed-nodeps,colors,lib/index.ts,TS2339,1
top1k-typed-nodeps,colors,lib/maps/america.ts,TS2339,3
top1k-typed-nodeps,colors,lib/maps/zebra.ts,TS2339,1
top1k-typed-nodeps,colors,lib/styles.ts,TS2740,1
top1k-typed-nodeps,colors,lib/styles.ts,TS2339,2
top1k-typed-nodeps,colors,lib/system/has-flag.ts,TS2322,1
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,TS2740,1
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,TS2349,11
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,TS2339,11
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,TS2304,1
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,TS4060,1
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,TS2322,1
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,TS2345,4
top1k-typed-nodeps,content-type,index.ts,TS2339,9
top1k-typed-nodeps,content-type,index.ts,TS2322,3
top1k-typed-nodeps,content-type,index.ts,TS2350,1
top1k-typed-nodeps,content-type,index.ts,TS2304,1
top1k-typed-nodeps,content-type,index.ts,TS4060,1
top1k-typed-nodeps,cookie,benchmark/index.ts,TS2339,4
top1k-typed-nodeps,cookie,benchmark/parse-top.ts,TS2403,1
top1k-typed-nodeps,cookie,benchmark/parse-top.ts,TS2339,9
top1k-typed-nodeps,cookie,benchmark/parse-top.ts,TS2304,3
top1k-typed-nodeps,cookie,benchmark/parse-top.ts,TS2393,1
top1k-typed-nodeps,cookie,benchmark/parse-top.ts,TS2365,1
top1k-typed-nodeps,cookie,benchmark/parse.ts,TS2339,14
top1k-typed-nodeps,cookie,benchmark/parse.ts,TS2304,3
top1k-typed-nodeps,cookie,benchmark/parse.ts,TS2393,1
top1k-typed-nodeps,cookie,index.ts,TS2339,23
top1k-typed-nodeps,cookie,index.ts,TS2345,4
top1k-typed-nodeps,cookie,index.ts,TS2740,1
top1k-typed-nodeps,cookie,index.ts,TS2678,1
top1k-typed-nodeps,cookie,index.ts,TS2358,1
top1k-typed-nodeps,cookie,index.ts,TS2304,1
top1k-typed-nodeps,cookie,index.ts,TS4060,1
top1k-typed-nodeps,cookie,scripts/update-benchmark.ts,TS2339,13
top1k-typed-nodeps,cookie,scripts/update-benchmark.ts,TS2345,2
top1k-typed-nodeps,cookie,scripts/update-benchmark.ts,TS2304,3
top1k-typed-nodeps,cookie,scripts/update-benchmark.ts,TS4060,3
top1k-typed-nodeps,cookie,scripts/update-benchmark.ts,TS2322,1
top1k-typed-nodeps,cookie,scripts/version-history.ts,TS2339,7
top1k-typed-nodeps,cookie,scripts/version-history.ts,TS2740,2
top1k-typed-nodeps,cookie,scripts/version-history.ts,TS2365,1
top1k-typed-nodeps,cookie-signature,index.ts,TS2403,1
top1k-typed-nodeps,cookie-signature,index.ts,TS2339,2
top1k-typed-nodeps,cookie-signature,index.ts,TS2740,1
top1k-typed-nodeps,cookie-signature,index.ts,TS2769,1
top1k-typed-nodeps,cookie-signature,index.ts,TS2322,1
top1k-typed-nodeps,create-require,create-require.ts,TS2339,14
top1k-typed-nodeps,cssesc,Gruntfile.ts,TS2339,3
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2339,73
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2322,19
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2365,5
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2367,7
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2554,1
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2345,18
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2314,2
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2403,1
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2304,37
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2740,3
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2769,1
top1k-typed-nodeps,cssesc,coverage/prettify.ts,TS2349,1
top1k-typed-nodeps,cssesc,cssesc.ts,TS2451,7
top1k-typed-nodeps,cssesc,cssesc.ts,TS2322,7
top1k-typed-nodeps,cssesc,cssesc.ts,TS2339,10
top1k-typed-nodeps,cssesc,cssesc.ts,TS2554,1
top1k-typed-nodeps,cssesc,cssesc.ts,TS2769,1
top1k-typed-nodeps,cssesc,cssesc.ts,TS2365,1
top1k-typed-nodeps,cssesc,src/cssesc.ts,TS2451,7
top1k-typed-nodeps,cssesc,src/cssesc.ts,TS2339,10
top1k-typed-nodeps,cssesc,src/cssesc.ts,TS2554,1
top1k-typed-nodeps,cssesc,src/cssesc.ts,TS2322,6
top1k-typed-nodeps,cssesc,src/cssesc.ts,TS2769,1
top1k-typed-nodeps,cssesc,src/cssesc.ts,TS2365,1
top1k-typed-nodeps,cssesc,src/data.ts,TS2339,2
top1k-typed-nodeps,cssom,docs/parse.ts,TS4060,1
top1k-typed-nodeps,cssom,src/CSSOM_END.ts,TS1128,2
