"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
DeepTyper,top1k-typed-with-typed-deps,braces,lib/constants.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,braces,lib/expand.ts,13,1,0,17
DeepTyper,top1k-typed-with-typed-deps,braces,lib/parse.ts,20,1,0,29
DeepTyper,top1k-typed-with-typed-deps,braces,lib/stringify.ts,1,0,0,5
DeepTyper,top1k-typed-with-typed-deps,braces,lib/utils.ts,11,1,0,14
DeepTyper,top1k-typed-with-typed-deps,call-bind,callBound.ts,5,0,0,6
DeepTyper,top1k-typed-with-typed-deps,call-bind,index.ts,7,0,1,8
DeepTyper,top1k-typed-with-typed-deps,color,index.ts,39,6,0,72
DeepTyper,top1k-typed-with-typed-deps,color-string,index.ts,17,1,0,49
DeepTyper,top1k-typed-with-typed-deps,compressible,index.ts,3,0,0,7
DeepTyper,top1k-typed-with-typed-deps,compressible,scripts/version-history.ts,5,0,0,17
DeepTyper,top1k-typed-with-typed-deps,cssstyle,.eslintrc.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,cssstyle,jest.config.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/CSSStyleDeclaration.ts,31,1,0,39
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/allExtraProperties.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/allProperties.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/allWebkitProperties.ts,0,0,0,1
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/constants.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/parsers.ts,41,3,0,117
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/azimuth.ts,3,0,0,6
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/background.ts,3,0,0,3
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/backgroundAttachment.ts,3,0,0,5
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/backgroundColor.ts,8,0,0,9
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/backgroundImage.ts,6,0,0,8
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/backgroundPosition.ts,7,1,0,12
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/backgroundRepeat.ts,5,0,0,7
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/border.ts,6,0,0,6
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderBottom.ts,3,0,0,3
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderBottomColor.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderBottomStyle.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderBottomWidth.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderCollapse.ts,4,0,0,5
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderColor.ts,4,0,0,7
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderLeft.ts,3,0,0,3
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderLeftColor.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderLeftStyle.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderLeftWidth.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderRight.ts,3,0,0,3
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderRightColor.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderRightStyle.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderRightWidth.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderSpacing.ts,4,0,0,7
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderStyle.ts,5,0,0,7
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderTop.ts,3,0,0,3
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderTopColor.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderTopStyle.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderTopWidth.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/borderWidth.ts,8,0,0,10
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/bottom.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/clear.ts,2,0,0,3
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/clip.ts,7,0,0,11
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/color.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/cssFloat.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/flex.ts,7,0,0,9
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/flexBasis.ts,5,0,0,6
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/flexGrow.ts,5,0,0,6
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/flexShrink.ts,5,0,0,6
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/float.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/floodColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/font.ts,8,0,0,10
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/fontFamily.ts,5,0,0,9
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/fontSize.ts,4,0,0,13
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/fontStyle.ts,0,0,0,3
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/fontVariant.ts,1,0,0,4
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/fontWeight.ts,1,0,0,4
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/height.ts,4,0,0,4
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/left.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/lightingColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/lineHeight.ts,4,0,0,5
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/margin.ts,7,0,0,12
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/marginBottom.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/marginLeft.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/marginRight.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/marginTop.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/opacity.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/outlineColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/padding.ts,6,0,0,11
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/paddingBottom.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/paddingLeft.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/paddingRight.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/paddingTop.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/right.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/stopColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/textLineThroughColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/textOverlineColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/textUnderlineColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/top.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitBorderAfterColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitBorderBeforeColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitBorderEndColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitBorderStartColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitColumnRuleColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitMatchNearestMailBlockquoteColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitTapHighlightColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitTextEmphasisColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitTextFillColor.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,cssstyle,lib/properties/webkitTextStrokeColor.ts,2,0,0,2
