"Package","Contains code","Is typed","Number of deps","Number of typed deps","Percentage of typed deps"
cross-spawn,True,True,3,2,0.67
crypto-browserify,True,False,11,6,0.55
crypto-random-string,True,False,1,0,0.00
css,True,True,3,1,0.33
css-loader,True,False,8,6,0.75
css-select,True,False,5,3,0.60
css-tree,True,True,2,0,0.00
css-what,True,False,0,0,NA
cssesc,True,True,0,0,NA
csso,True,True,1,1,1.00
cssom,True,True,0,0,NA
cssstyle,True,True,1,1,1.00
csstype,False,False,0,0,NA
cyclist,True,False,0,0,NA
d,True,True,2,0,0.00
dashdash,True,True,1,1,1.00
data-uri-to-buffer,True,False,0,0,NA
data-urls,True,True,3,2,0.67
date-fns,True,False,0,0,NA
debug,True,True,1,1,1.00
decamelize,True,False,0,0,NA
decamelize-keys,True,False,2,0,0.00
decimal.js,True,False,0,0,NA
decode-uri-component,True,True,0,0,NA
decompress-response,True,False,1,0,0.00
dedent,True,True,0,0,NA
deep-equal,True,True,15,8,0.53
deep-extend,True,True,0,0,NA
deep-is,True,False,0,0,NA
deepmerge,True,False,0,0,NA
defaults,True,True,1,1,1.00
defer-to-connect,True,False,0,0,NA
define-lazy-prop,True,False,0,0,NA
define-properties,True,True,1,1,1.00
define-property,True,False,2,0,0.00
del,True,False,8,3,0.38
delayed-stream,True,False,0,0,NA
delegates,True,True,0,0,NA
depd,True,True,0,0,NA
des.js,True,False,2,2,1.00
destroy,True,True,0,0,NA
detect-newline,True,False,0,0,NA
detect-node,True,True,0,0,NA
diff,True,True,0,0,NA
diff-sequences,True,False,0,0,NA
diffie-hellman,True,True,3,2,0.67
dir-glob,True,True,1,0,0.00
doctrine,True,True,1,1,1.00
dom-serializer,True,False,3,1,0.33
domain-browser,True,False,0,0,NA
domelementtype,True,False,0,0,NA
domexception,True,True,1,1,1.00
domhandler,True,True,1,0,0.00
domutils,True,True,3,1,0.33
dot-case,True,False,2,0,0.00
dot-prop,True,False,1,0,0.00
dotenv,True,False,0,0,NA
duplexer,True,False,0,0,NA
duplexer3,True,True,0,0,NA
duplexify,True,True,4,4,1.00
ecc-jsbn,True,False,1,1,1.00
ecdsa-sig-formatter,True,False,1,0,0.00
ee-first,True,True,0,0,NA
electron-to-chromium,True,False,0,0,NA
