Package,File,"Number of errors"
regenerate-unicode-properties,Script_Extensions/Buginese.ts,2
regenerate-unicode-properties,Script_Extensions/Buhid.ts,2
regenerate-unicode-properties,Script_Extensions/Canadian_Aboriginal.ts,2
regenerate-unicode-properties,Script_Extensions/Carian.ts,2
regenerate-unicode-properties,Script_Extensions/Caucasian_Albanian.ts,2
regenerate-unicode-properties,Script_Extensions/Chakma.ts,2
regenerate-unicode-properties,Script_Extensions/Cham.ts,2
regenerate-unicode-properties,Script_Extensions/Cherokee.ts,2
regenerate-unicode-properties,Script_Extensions/Chorasmian.ts,2
regenerate-unicode-properties,Script_Extensions/Common.ts,4
regenerate-unicode-properties,Script_Extensions/Coptic.ts,2
regenerate-unicode-properties,Script_Extensions/Cuneiform.ts,2
regenerate-unicode-properties,Script_Extensions/Cypriot.ts,2
regenerate-unicode-properties,Script_Extensions/Cypro_Minoan.ts,2
regenerate-unicode-properties,Script_Extensions/Cyrillic.ts,2
regenerate-unicode-properties,Script_Extensions/Deseret.ts,2
regenerate-unicode-properties,Script_Extensions/Devanagari.ts,2
regenerate-unicode-properties,Script_Extensions/Dives_Akuru.ts,2
regenerate-unicode-properties,Script_Extensions/Dogra.ts,2
regenerate-unicode-properties,Script_Extensions/Duployan.ts,2
regenerate-unicode-properties,Script_Extensions/Egyptian_Hieroglyphs.ts,2
regenerate-unicode-properties,Script_Extensions/Elbasan.ts,2
regenerate-unicode-properties,Script_Extensions/Elymaic.ts,2
regenerate-unicode-properties,Script_Extensions/Ethiopic.ts,2
regenerate-unicode-properties,Script_Extensions/Georgian.ts,2
regenerate-unicode-properties,Script_Extensions/Glagolitic.ts,2
regenerate-unicode-properties,Script_Extensions/Gothic.ts,2
regenerate-unicode-properties,Script_Extensions/Grantha.ts,2
regenerate-unicode-properties,Script_Extensions/Greek.ts,2
regenerate-unicode-properties,Script_Extensions/Gujarati.ts,2
regenerate-unicode-properties,Script_Extensions/Gunjala_Gondi.ts,2
regenerate-unicode-properties,Script_Extensions/Gurmukhi.ts,2
regenerate-unicode-properties,Script_Extensions/Han.ts,2
regenerate-unicode-properties,Script_Extensions/Hangul.ts,2
regenerate-unicode-properties,Script_Extensions/Hanifi_Rohingya.ts,2
regenerate-unicode-properties,Script_Extensions/Hanunoo.ts,2
